count,year,month,day,hour,working_day,weekend_day,public_holiday
5,2016,10,11,12,1,0,0
1,2016,10,11,13,1,0,0
1,2016,10,11,14,1,0,0
0,2016,10,11,15,1,0,0
0,2016,10,11,16,1,0,0
0,2016,10,11,17,1,0,0
0,2016,10,11,18,1,0,0
0,2016,10,11,19,1,0,0
0,2016,10,11,20,1,0,0
0,2016,10,11,21,1,0,0
0,2016,10,11,22,1,0,0
0,2016,10,11,23,1,0,0
0,2016,10,12,0,1,0,0
0,2016,10,12,1,1,0,0
0,2016,10,12,2,1,0,0
0,2016,10,12,3,1,0,0
0,2016,10,12,4,1,0,0
0,2016,10,12,5,1,0,0
0,2016,10,12,6,1,0,0
